ICAO,PHASE,STND,RWY,N,VALID,REF_20,ID,OBSERVED
EDDF,ARR,A1,07L,503,503,8.25,ARR-A1-07L,2019
EDDF,ARR,A1,07R,294,294,8.31,ARR-A1-07R,2019
EDDF,ARR,A1,25C,329,329,5.3,ARR-A1-25C,2019
EDDF,ARR,A1,25L,469,469,9.233333333333333,ARR-A1-25L,2019
EDDF,ARR,A1,25R,897,897,10.95,ARR-A1-25R,2019
EDDF,ARR,A11,07L,655,655,7.6,ARR-A11-07L,2019
EDDF,ARR,A11,07R,266,266,7.433333333333334,ARR-A11-07R,2019
EDDF,ARR,A11,25C,392,392,4.416666666666667,ARR-A11-25C,2019
EDDF,ARR,A11,25L,503,503,8.366666666666667,ARR-A11-25L,2019
EDDF,ARR,A11,25R,1062,1062,10.283333333333333,ARR-A11-25R,2019
EDDF,ARR,A13,07L,640,640,7.396666666666667,ARR-A13-07L,2019
EDDF,ARR,A13,07R,283,283,7.403333333333334,ARR-A13-07R,2019
EDDF,ARR,A13,25C,392,392,4.3566666666666665,ARR-A13-25C,2019
EDDF,ARR,A13,25L,516,516,8.483333333333333,ARR-A13-25L,2019
EDDF,ARR,A13,25R,1041,1041,10.15,ARR-A13-25R,2019
EDDF,ARR,A14,07L,710,710,7.333333333333333,ARR-A14-07L,2019
EDDF,ARR,A14,07R,228,228,8.656666666666666,ARR-A14-07R,2019
EDDF,ARR,A14,25C,364,364,4.316666666666666,ARR-A14-25C,2019
EDDF,ARR,A14,25L,550,550,8.45,ARR-A14-25L,2019
EDDF,ARR,A14,25R,1070,1070,9.883333333333333,ARR-A14-25R,2019
EDDF,ARR,A15,07L,404,404,7.236666666666666,ARR-A15-07L,2019
EDDF,ARR,A15,07R,260,260,7.583333333333333,ARR-A15-07R,2019
EDDF,ARR,A15,25C,311,311,4.3,ARR-A15-25C,2019
EDDF,ARR,A15,25L,429,429,8.726666666666667,ARR-A15-25L,2019
EDDF,ARR,A15,25R,729,729,9.966666666666667,ARR-A15-25R,2019
EDDF,ARR,A16,07L,699,699,6.983333333333333,ARR-A16-07L,2019
EDDF,ARR,A16,07R,254,254,8.543333333333333,ARR-A16-07R,2019
EDDF,ARR,A16,25C,338,338,4.366666666666666,ARR-A16-25C,2019
EDDF,ARR,A16,25L,526,526,8.016666666666667,ARR-A16-25L,2019
EDDF,ARR,A16,25R,1133,1133,9.739999999999998,ARR-A16-25R,2019
EDDF,ARR,A17,07L,609,609,7.176666666666668,ARR-A17-07L,2019
EDDF,ARR,A17,07R,250,250,6.846666666666666,ARR-A17-07R,2019
EDDF,ARR,A17,25C,388,388,4.05,ARR-A17-25C,2019
EDDF,ARR,A17,25L,489,489,8,ARR-A17-25L,2019
EDDF,ARR,A17,25R,1028,1028,9.816666666666666,ARR-A17-25R,2019
EDDF,ARR,A18,07L,658,658,6.906666666666666,ARR-A18-07L,2019
EDDF,ARR,A18,07R,248,248,8.336666666666666,ARR-A18-07R,2019
EDDF,ARR,A18,25C,385,385,4.2,ARR-A18-25C,2019
EDDF,ARR,A18,25L,545,545,8.016666666666667,ARR-A18-25L,2019
EDDF,ARR,A18,25R,1032,1032,9.6033333333333335,ARR-A18-25R,2019
EDDF,ARR,A19,07L,426,426,7.133333333333334,ARR-A19-07L,2019
EDDF,ARR,A19,07R,210,210,6.886666666666667,ARR-A19-07R,2019
EDDF,ARR,A19,25C,262,262,3.8866666666666667,ARR-A19-25C,2019
EDDF,ARR,A19,25L,360,360,8.03,ARR-A19-25L,2019
EDDF,ARR,A19,25R,822,822,10,ARR-A19-25R,2019
EDDF,ARR,A20,07L,429,429,7.266666666666667,ARR-A20-07L,2019
EDDF,ARR,A20,07R,112,112,9.35,ARR-A20-07R,2019
EDDF,ARR,A20,25C,194,194,4.3,ARR-A20-25C,2019
EDDF,ARR,A20,25L,295,295,8.723333333333333,ARR-A20-25L,2019
EDDF,ARR,A20,25R,758,758,10.116666666666667,ARR-A20-25R,2019
EDDF,ARR,A21,07L,599,599,6.866666666666666,ARR-A21-07L,2019
EDDF,ARR,A21,07R,304,304,6.583333333333333,ARR-A21-07R,2019
EDDF,ARR,A21,25C,414,414,3.9433333333333334,ARR-A21-25C,2019
EDDF,ARR,A21,25L,457,457,7.766666666666667,ARR-A21-25L,2019
EDDF,ARR,A21,25R,1032,1032,9.516666666666667,ARR-A21-25R,2019
EDDF,ARR,A22,07L,444,444,7.32,ARR-A22-07L,2019
EDDF,ARR,A22,07R,112,112,8.476666666666667,ARR-A22-07R,2019
EDDF,ARR,A22,25C,227,227,4.27,ARR-A22-25C,2019
EDDF,ARR,A22,25L,295,295,7.906666666666667,ARR-A22-25L,2019
EDDF,ARR,A22,25R,727,727,10.133333333333333,ARR-A22-25R,2019
EDDF,ARR,A23,07L,285,285,6.766666666666667,ARR-A23-07L,2019
EDDF,ARR,A23,07R,296,296,7.033333333333333,ARR-A23-07R,2019
EDDF,ARR,A23,25C,268,268,3.97,ARR-A23-25C,2019
EDDF,ARR,A23,25L,460,460,8.363333333333333,ARR-A23-25L,2019
EDDF,ARR,A23,25R,477,477,9.366666666666667,ARR-A23-25R,2019
EDDF,ARR,A24,07L,653,653,6.706666666666667,ARR-A24-07L,2019
EDDF,ARR,A24,07R,268,268,8.073333333333334,ARR-A24-07R,2019
EDDF,ARR,A24,25C,372,372,3.9366666666666665,ARR-A24-25C,2019
EDDF,ARR,A24,25L,553,553,7.883333333333334,ARR-A24-25L,2019
EDDF,ARR,A24,25R,1019,1019,9.366666666666667,ARR-A24-25R,2019
EDDF,ARR,A25,07L,269,269,6.593333333333334,ARR-A25-07L,2019
EDDF,ARR,A25,07R,276,276,6.816666666666666,ARR-A25-07R,2019
EDDF,ARR,A25,25C,265,265,3.9633333333333334,ARR-A25-25C,2019
EDDF,ARR,A25,25L,441,441,7.983333333333333,ARR-A25-25L,2019
EDDF,ARR,A25,25R,449,449,9.393333333333334,ARR-A25-25R,2019
EDDF,ARR,A26,07L,628,628,6.973333333333334,ARR-A26-07L,2019
EDDF,ARR,A26,07R,270,270,8.636666666666667,ARR-A26-07R,2019
EDDF,ARR,A26,25C,359,359,4.16,ARR-A26-25C,2019
EDDF,ARR,A26,25L,615,615,8.229999999999999,ARR-A26-25L,2019
EDDF,ARR,A26,25R,972,972,9.636666666666667,ARR-A26-25R,2019
EDDF,ARR,A28,07L,623,623,6.906666666666666,ARR-A28-07L,2019
EDDF,ARR,A28,07R,285,285,8.45,ARR-A28-07R,2019
EDDF,ARR,A28,25C,353,353,4.023333333333333,ARR-A28-25C,2019
EDDF,ARR,A28,25L,582,582,8.120000000000001,ARR-A28-25L,2019
EDDF,ARR,A28,25R,1018,1018,9.45,ARR-A28-25R,2019
EDDF,ARR,A30,07L,656,656,6.7,ARR-A30-07L,2019
EDDF,ARR,A30,07R,261,261,8.166666666666666,ARR-A30-07R,2019
EDDF,ARR,A30,25C,314,314,3.7666666666666666,ARR-A30-25C,2019
EDDF,ARR,A30,25L,585,585,8.046666666666667,ARR-A30-25L,2019
EDDF,ARR,A30,25R,1008,1008,9.25,ARR-A30-25R,2019
EDDF,ARR,A34,07L,639,639,6.4766666666666675,ARR-A34-07L,2019
EDDF,ARR,A34,07R,256,256,8.15,ARR-A34-07R,2019
EDDF,ARR,A34,25C,335,335,3.6466666666666665,ARR-A34-25C,2019
EDDF,ARR,A34,25L,584,584,7.893333333333334,ARR-A34-25L,2019
EDDF,ARR,A34,25R,1023,1023,9.216666666666667,ARR-A34-25R,2019
EDDF,ARR,A36,07L,625,625,6.346666666666667,ARR-A36-07L,2019
EDDF,ARR,A36,07R,285,285,8.063333333333334,ARR-A36-07R,2019
EDDF,ARR,A36,25C,355,355,3.6966666666666668,ARR-A36-25C,2019
EDDF,ARR,A36,25L,594,594,7.633333333333334,ARR-A36-25L,2019
EDDF,ARR,A36,25R,943,943,9.09,ARR-A36-25R,2019
EDDF,ARR,A38,07L,654,654,6.416666666666667,ARR-A38-07L,2019
EDDF,ARR,A38,07R,255,255,8.076666666666668,ARR-A38-07R,2019
EDDF,ARR,A38,25C,318,318,3.5233333333333334,ARR-A38-25C,2019
EDDF,ARR,A38,25L,578,578,7.616666666666666,ARR-A38-25L,2019
EDDF,ARR,A38,25R,1014,1014,8.983333333333333,ARR-A38-25R,2019
EDDF,ARR,A40,07L,636,636,6.2,ARR-A40-07L,2019
EDDF,ARR,A40,07R,258,258,7.806666666666667,ARR-A40-07R,2019
EDDF,ARR,A40,25C,323,323,3.3733333333333335,ARR-A40-25C,2019
EDDF,ARR,A40,25L,509,509,7.516666666666667,ARR-A40-25L,2019
EDDF,ARR,A40,25R,998,998,8.8,ARR-A40-25R,2019
EDDF,ARR,A50,07L,253,253,7.423333333333334,ARR-A50-07L,2019
EDDF,ARR,A50,07R,289,289,9.96,ARR-A50-07R,2019
EDDF,ARR,A50,25C,306,306,5.016666666666667,ARR-A50-25C,2019
EDDF,ARR,A50,25L,503,503,9.866666666666667,ARR-A50-25L,2019
EDDF,ARR,A50,25R,367,367,9.866666666666667,ARR-A50-25R,2019
EDDF,ARR,A52,07L,198,198,7.24,ARR-A52-07L,2019
EDDF,ARR,A52,07R,344,344,10,ARR-A52-07R,2019
EDDF,ARR,A52,25C,340,340,5.213333333333334,ARR-A52-25C,2019
EDDF,ARR,A52,25L,563,563,9.656666666666666,ARR-A52-25L,2019
EDDF,ARR,A52,25R,295,295,10.006666666666668,ARR-A52-25R,2019
EDDF,ARR,A54,07L,32,32,8.77,ARR-A54-07L,2019
EDDF,ARR,A54,07R,360,360,10.433333333333334,ARR-A54-07R,2019
EDDF,ARR,A54,25C,272,272,6.470000000000001,ARR-A54-25C,2019
EDDF,ARR,A54,25L,472,472,10.053333333333335,ARR-A54-25L,2019
EDDF,ARR,A54,25R,49,49,11.686666666666667,ARR-A54-25R,2019
