ICAO,PHASE,STND,RWY,N,VALID,REF_20,ID,OBSERVED
EDDM,ARR,102,26L,61,61,6,ARR-102-26L,2019
EDDM,ARR,102,26R,51,51,5,ARR-102-26R,2019
EDDM,ARR,103,26L,67,67,5,ARR-103-26L,2019
EDDM,ARR,103,26R,52,52,5,ARR-103-26R,2019
EDDM,ARR,104,08L,34,34,6,ARR-104-08L,2019
EDDM,ARR,104,08R,52,52,5,ARR-104-08R,2019
EDDM,ARR,104,26L,101,101,5,ARR-104-26L,2019
EDDM,ARR,104,26R,141,141,5,ARR-104-26R,2019
EDDM,ARR,105,08L,65,65,6,ARR-105-08L,2019
EDDM,ARR,105,26L,83,83,5,ARR-105-26L,2019
EDDM,ARR,105,26R,133,133,5,ARR-105-26R,2019
EDDM,ARR,108,26R,36,36,6,ARR-108-26R,2019
EDDM,ARR,109,08L,70,70,6,ARR-109-08L,2019
EDDM,ARR,109,08R,46,46,5,ARR-109-08R,2019
EDDM,ARR,109,26L,102,102,6,ARR-109-26L,2019
EDDM,ARR,109,26R,240,240,5,ARR-109-26R,2019
EDDM,ARR,110,08L,402,402,7,ARR-110-08L,2019
EDDM,ARR,110,08R,517,517,5,ARR-110-08R,2019
EDDM,ARR,110,26L,762,762,6,ARR-110-26L,2019
EDDM,ARR,110,26R,778,778,5,ARR-110-26R,2019
EDDM,ARR,111,08L,580,580,7,ARR-111-08L,2019
EDDM,ARR,111,08R,550,550,5,ARR-111-08R,2019
EDDM,ARR,111,26L,786,786,6,ARR-111-26L,2019
EDDM,ARR,111,26R,1070,1070,6,ARR-111-26R,2019
EDDM,ARR,112,08L,237,237,7,ARR-112-08L,2019
EDDM,ARR,112,08R,174,174,5,ARR-112-08R,2019
EDDM,ARR,112,26L,296,296,5,ARR-112-26L,2019
EDDM,ARR,112,26R,429,429,6,ARR-112-26R,2019
EDDM,ARR,113,08L,299,299,8,ARR-113-08L,2019
EDDM,ARR,113,08R,546,546,6,ARR-113-08R,2019
EDDM,ARR,113,26L,852,852,6,ARR-113-26L,2019
EDDM,ARR,113,26R,545,545,6,ARR-113-26R,2019
EDDM,ARR,115,08L,455,455,8,ARR-115-08L,2019
EDDM,ARR,115,08R,617,617,4,ARR-115-08R,2019
EDDM,ARR,115,26L,1008,1008,5,ARR-115-26L,2019
EDDM,ARR,115,26R,755,755,6,ARR-115-26R,2019
EDDM,ARR,116,08L,267,267,7,ARR-116-08L,2019
EDDM,ARR,116,08R,436,436,4,ARR-116-08R,2019
EDDM,ARR,116,26L,686,686,4,ARR-116-26L,2019
EDDM,ARR,116,26R,496,496,5,ARR-116-26R,2019
EDDM,ARR,117,08L,372,372,7,ARR-117-08L,2019
EDDM,ARR,117,08R,570,570,4,ARR-117-08R,2019
EDDM,ARR,117,26L,938,938,4,ARR-117-26L,2019
