ICAO,PHASE,STND,RWY,N,VALID,REF_20,ID,OBSERVED
EGKK,ARR,01M,08R,780,779,4,ARR-01M-08R,2019
EGKK,ARR,01M,26L,1736,1735,7,ARR-01M-26L,2019
EGKK,ARR,02M,08R,820,820,4,ARR-02M-08R,2019
EGKK,ARR,02M,26L,1796,1795,6,ARR-02M-26L,2019
EGKK,ARR,03M,08R,847,846,4,ARR-03M-08R,2019
EGKK,ARR,03M,26L,1774,1773,6,ARR-03M-26L,2019
EGKK,ARR,04M,08R,944,944,4,ARR-04M-08R,2019
EGKK,ARR,04M,26L,1956,1956,7,ARR-04M-26L,2019
EGKK,ARR,05M,08R,843,843,4,ARR-05M-08R,2019
EGKK,ARR,05M,26L,1769,1769,7,ARR-05M-26L,2019
EGKK,ARR,101M,08R,951,951,4,ARR-101M-08R,2019
EGKK,ARR,101M,26L,2044,2044,6,ARR-101M-26L,2019
EGKK,ARR,102M,08R,908,908,4,ARR-102M-08R,2019
EGKK,ARR,102M,26L,1913,1913,7,ARR-102M-26L,2019
EGKK,ARR,102M,26R,64,64,7,ARR-102M-26R,2019
EGKK,ARR,103M,08R,75,75,4,ARR-103M-08R,2019
EGKK,ARR,103M,26L,183,183,6,ARR-103M-26L,2019
EGKK,ARR,104M,08R,902,902,4,ARR-104M-08R,2019
EGKK,ARR,104M,26L,1883,1883,6,ARR-104M-26L,2019
EGKK,ARR,105M,08R,1004,1003,4,ARR-105M-08R,2019
EGKK,ARR,105M,26L,2102,2102,6,ARR-105M-26L,2019
EGKK,ARR,106M,08R,1019,1018,4,ARR-106M-08R,2019
EGKK,ARR,106M,26L,2052,2052,6,ARR-106M-26L,2019
EGKK,ARR,107M,08R,1000,1000,4,ARR-107M-08R,2019
EGKK,ARR,107M,26L,2047,2047,6,ARR-107M-26L,2019
EGKK,ARR,109M,08R,615,615,4,ARR-109M-08R,2019
EGKK,ARR,109M,26L,1253,1253,5,ARR-109M-26L,2019
EGKK,ARR,10M,08R,944,944,4,ARR-10M-08R,2019
EGKK,ARR,10M,26L,2019,2019,7,ARR-10M-26L,2019
EGKK,ARR,110M,08R,574,574,4,ARR-110M-08R,2019
EGKK,ARR,110M,26L,1231,1231,6,ARR-110M-26L,2019
EGKK,ARR,111M,08R,559,559,4,ARR-111M-08R,2019
EGKK,ARR,111M,26L,1191,1190,6,ARR-111M-26L,2019
EGKK,ARR,111M,26R,34,34,7,ARR-111M-26R,2019
EGKK,ARR,112M,08R,852,852,4,ARR-112M-08R,2019
EGKK,ARR,112M,26L,1827,1827,6,ARR-112M-26L,2019
EGKK,ARR,113M,08R,802,802,4,ARR-113M-08R,2019
EGKK,ARR,113M,26L,1743,1743,6,ARR-113M-26L,2019
EGKK,ARR,11M,08R,967,967,4,ARR-11M-08R,2019
EGKK,ARR,11M,26L,2047,2047,7,ARR-11M-26L,2019
EGKK,ARR,12M,08R,930,930,4,ARR-12M-08R,2019
EGKK,ARR,12M,26L,1991,1991,6,ARR-12M-26L,2019
EGKK,ARR,130M,08R,82,82,4,ARR-130M-08R,2019
EGKK,ARR,130M,26L,183,183,6,ARR-130M-26L,2019
EGKK,ARR,131M,08R,78,78,4,ARR-131M-08R,2019
EGKK,ARR,131M,26L,161,161,6,ARR-131M-26L,2019
EGKK,ARR,132M,08R,34,34,4,ARR-132M-08R,2019
EGKK,ARR,132M,26L,82,82,6,ARR-132M-26L,2019
EGKK,ARR,133M,08R,40,40,4,ARR-133M-08R,2019
EGKK,ARR,133M,26L,68,68,6,ARR-133M-26L,2019
EGKK,ARR,134M,08R,36,36,4,ARR-134M-08R,2019
EGKK,ARR,134M,26L,87,87,6,ARR-134M-26L,2019
EGKK,ARR,135M,08R,46,46,3,ARR-135M-08R,2019
EGKK,ARR,135M,26L,110,110,5,ARR-135M-26L,2019
EGKK,ARR,13L,08R,64,64,5,ARR-13L-08R,2019
