ICAO,PHASE,STND,RWY,N,VALID,REF_20,ID,OBSERVED
EGLL,ARR,216,09L,903,903,8,ARR-216-09L,2019
EGLL,ARR,216,27L,1260,1260,5,ARR-216-27L,2019
EGLL,ARR,216,27R,1208,1208,9,ARR-216-27R,2019
EGLL,ARR,217,09L,868,868,8,ARR-217-09L,2019
EGLL,ARR,217,27L,1236,1236,5,ARR-217-27L,2019
EGLL,ARR,217,27R,1217,1217,9,ARR-217-27R,2019
EGLL,ARR,218,09L,124,124,9,ARR-218-09L,2019
EGLL,ARR,218,27L,219,219,6,ARR-218-27L,2019
EGLL,ARR,218,27R,180,180,9,ARR-218-27R,2019
EGLL,ARR,218L,09L,713,713,7,ARR-218L-09L,2019
EGLL,ARR,218L,27L,927,927,4,ARR-218L-27L,2019
EGLL,ARR,218L,27R,919,919,8,ARR-218L-27R,2019
EGLL,ARR,218R,09L,648,648,8,ARR-218R-09L,2019
EGLL,ARR,218R,27L,907,907,5,ARR-218R-27L,2019
EGLL,ARR,218R,27R,926,926,8,ARR-218R-27R,2019
EGLL,ARR,219,09L,686,686,7,ARR-219-09L,2019
EGLL,ARR,219,27L,960,960,4,ARR-219-27L,2019
EGLL,ARR,219,27R,934,934,8,ARR-219-27R,2019
EGLL,ARR,220,09L,747,747,7,ARR-220-09L,2019
EGLL,ARR,220,27L,1053,1053,4,ARR-220-27L,2019
EGLL,ARR,220,27R,1059,1059,8,ARR-220-27R,2019
EGLL,ARR,221L,09L,786,786,7,ARR-221L-09L,2019
EGLL,ARR,221L,27L,1133,1133,3,ARR-221L-27L,2019
EGLL,ARR,221L,27R,1107,1107,7,ARR-221L-27R,2019
EGLL,ARR,221R,09L,894,894,7,ARR-221R-09L,2019
EGLL,ARR,221R,27L,1269,1269,4,ARR-221R-27L,2019
EGLL,ARR,221R,27R,1211,1211,8,ARR-221R-27R,2019
EGLL,ARR,223,09L,750,750,7,ARR-223-09L,2019
EGLL,ARR,223,27L,1071,1071,4,ARR-223-27L,2019
EGLL,ARR,223,27R,1089,1089,7,ARR-223-27R,2019
EGLL,ARR,224,09L,704,704,7,ARR-224-09L,2019
EGLL,ARR,224,27L,1039,1039,3,ARR-224-27L,2019
EGLL,ARR,224,27R,1040,1040,7,ARR-224-27R,2019
EGLL,ARR,225,09L,675,675,7,ARR-225-09L,2019
EGLL,ARR,225,27L,1044,1044,3,ARR-225-27L,2019
EGLL,ARR,225,27R,1020,1020,7,ARR-225-27R,2019
EGLL,ARR,226,09L,642,642,7,ARR-226-09L,2019
EGLL,ARR,226,27L,963,963,3,ARR-226-27L,2019
EGLL,ARR,226,27R,950,950,7,ARR-226-27R,2019
EGLL,ARR,231,09L,328,328,4,ARR-231-09L,2019
EGLL,ARR,231,27L,479,479,8,ARR-231-27L,2019
EGLL,ARR,231,27R,472,472,5,ARR-231-27R,2019
EGLL,ARR,232,09L,360,360,4,ARR-232-09L,2019
EGLL,ARR,232,27L,487,487,8,ARR-232-27L,2019
EGLL,ARR,232,27R,490,490,5,ARR-232-27R,2019
EGLL,ARR,233,09L,347,347,4,ARR-233-09L,2019
EGLL,ARR,233,09R,35,35,7,ARR-233-09R,2019
EGLL,ARR,233,27L,505,505,9,ARR-233-27L,2019
EGLL,ARR,233,27R,527,527,6,ARR-233-27R,2019
EGLL,ARR,233L,27R,31,31,4,ARR-233L-27R,2019
EGLL,ARR,236,09L,228,228,8,ARR-236-09L,2019
EGLL,ARR,236,27L,374,374,6,ARR-236-27L,2019
EGLL,ARR,236,27R,332,332,9,ARR-236-27R,2019
EGLL,ARR,236L,09L,154,154,7,ARR-236L-09L,2019
EGLL,ARR,236L,27L,203,203,5,ARR-236L-27L,2019
EGLL,ARR,236L,27R,236,236,9,ARR-236L-27R,2019
EGLL,ARR,236R,09L,170,170,8,ARR-236R-09L,2019
EGLL,ARR,236R,27L,219,219,5,ARR-236R-27L,2019
EGLL,ARR,236R,27R,262,262,9,ARR-236R-27R,2019
EGLL,ARR,238,09L,400,400,8,ARR-238-09L,2019
EGLL,ARR,238,09R,30,30,4,ARR-238-09R,2019
EGLL,ARR,238,27L,611,611,6,ARR-238-27L,2019
EGLL,ARR,238,27R,587,587,9,ARR-238-27R,2019
EGLL,ARR,239,09L,302,302,8,ARR-239-09L,2019
EGLL,ARR,239,09R,38,38,4,ARR-239-09R,2019
EGLL,ARR,239,27L,498,498,6,ARR-239-27L,2019
EGLL,ARR,239,27R,416,416,9,ARR-239-27R,2019
EGLL,ARR,241,09L,334,334,6,ARR-241-09L,2019
EGLL,ARR,241,27L,547,547,6,ARR-241-27L,2019
EGLL,ARR,241,27R,491,491,7,ARR-241-27R,2019
EGLL,ARR,242,09L,272,272,5.200000000000003,ARR-242-09L,2019
EGLL,ARR,242,09R,34,34,5,ARR-242-09R,2019
EGLL,ARR,242,27L,405,405,7,ARR-242-27L,2019
EGLL,ARR,242,27R,478,478,9,ARR-242-27R,2019
EGLL,ARR,243,09L,295,295,6,ARR-243-09L,2019
EGLL,ARR,243,27L,453,453,7,ARR-243-27L,2019
EGLL,ARR,243,27R,466,466,8,ARR-243-27R,2019
EGLL,ARR,243L,09L,39,39,5,ARR-243L-09L,2019
EGLL,ARR,243L,27L,64,64,6,ARR-243L-27L,2019
