ICAO,PHASE,STND,RWY,N,VALID,REF_20,ID,OBSERVED
EHAM,ARR,1,18C,177,177,4.866666666666666,ARR-1-18C,2019
EHAM,ARR,1,18R,354,354,11.35,ARR-1-18R,2019
EHAM,ARR,A31,06,134,134,2.033333333333333,ARR-A31-06,2019
EHAM,ARR,A31,18C,225,225,3.6666666666666665,ARR-A31-18C,2019
EHAM,ARR,A31,18R,430,430,9.3,ARR-A31-18R,2019
EHAM,ARR,A31,22,30,30,4.753333333333333,ARR-A31-22,2019
EHAM,ARR,A31,27,97,97,5.0200000000000005,ARR-A31-27,2019
EHAM,ARR,A31,36C,69,69,4.859999999999999,ARR-A31-36C,2019
EHAM,ARR,A31,36R,164,164,3.6266666666666665,ARR-A31-36R,2019
EHAM,ARR,A32,06,171,171,2.0833333333333335,ARR-A32-06,2019
EHAM,ARR,A32,18C,255,255,3.76,ARR-A32-18C,2019
EHAM,ARR,A32,18R,488,488,9.456666666666667,ARR-A32-18R,2019
EHAM,ARR,A32,22,33,33,5.106666666666666,ARR-A32-22,2019
EHAM,ARR,A32,27,122,122,5.256666666666667,ARR-A32-27,2019
EHAM,ARR,A32,36C,76,76,4.933333333333334,ARR-A32-36C,2019
EHAM,ARR,A32,36R,156,156,3.6166666666666667,ARR-A32-36R,2019
EHAM,ARR,A33,06,150,150,2.2,ARR-A33-06,2019
EHAM,ARR,A33,18C,263,263,3.8966666666666665,ARR-A33-18C,2019
EHAM,ARR,A33,18R,459,459,9.566666666666666,ARR-A33-18R,2019
EHAM,ARR,A33,22,42,42,4.873333333333333,ARR-A33-22,2019
EHAM,ARR,A33,27,107,107,5.373333333333333,ARR-A33-27,2019
EHAM,ARR,A33,36C,91,91,5.25,ARR-A33-36C,2019
EHAM,ARR,A33,36R,171,171,3.65,ARR-A33-36R,2019
EHAM,ARR,A34,06,186,186,2.183333333333333,ARR-A34-06,2019
EHAM,ARR,A34,18C,269,269,3.9,ARR-A34-18C,2019
EHAM,ARR,A34,18R,467,467,9.433333333333334,ARR-A34-18R,2019
EHAM,ARR,A34,22,40,40,5.0633333333333335,ARR-A34-22,2019
EHAM,ARR,A34,27,106,106,5.45,ARR-A34-27,2019
EHAM,ARR,A34,36C,99,99,5.186666666666667,ARR-A34-36C,2019
