ICAO,PHASE,STND,RWY,N,VALID,REF_20,ID,OBSERVED
LEBL,ARR,01,25R,56,56,3.6166666666666667,ARR-01-25R,2019
LEBL,ARR,02,25R,54,54,3.8500000000000005,ARR-02-25R,2019
LEBL,ARR,03,25R,38,38,4.083333333333333,ARR-03-25R,2019
LEBL,ARR,100,02,82,82,3.043333333333333,ARR-100-02,2019
LEBL,ARR,100,07L,206,206,2.45,ARR-100-07L,2019
LEBL,ARR,100,25R,856,856,1.95,ARR-100-25R,2019
LEBL,ARR,101,02,111,111,2.716666666666667,ARR-101-02,2019
LEBL,ARR,101,07L,353,353,2.1333333333333333,ARR-101-07L,2019
LEBL,ARR,101,25R,1553,1553,1.7666666666666666,ARR-101-25R,2019
LEBL,ARR,102,02,183,183,2.6333333333333333,ARR-102-02,2019
LEBL,ARR,102,07L,326,326,2.35,ARR-102-07L,2019
LEBL,ARR,102,25L,32,32,5.0600000000000005,ARR-102-25L,2019
LEBL,ARR,102,25R,1390,1390,1.9666666666666666,ARR-102-25R,2019
LEBL,ARR,103,02,43,43,2.9299999999999997,ARR-103-02,2019
LEBL,ARR,103,07L,71,71,2.6666666666666665,ARR-103-07L,2019
LEBL,ARR,103,25R,321,321,1.8,ARR-103-25R,2019
LEBL,ARR,104,02,225,225,2.966666666666667,ARR-104-02,2019
LEBL,ARR,104,07L,280,280,2.5166666666666666,ARR-104-07L,2019
LEBL,ARR,104,25L,44,44,4.416666666666667,ARR-104-25L,2019
LEBL,ARR,104,25R,1207,1207,1.7333333333333334,ARR-104-25R,2019
LEBL,ARR,105,02,211,211,3.0833333333333335,ARR-105-02,2019
LEBL,ARR,105,07L,259,259,2.8533333333333335,ARR-105-07L,2019
LEBL,ARR,105,25L,43,43,4.696666666666667,ARR-105-25L,2019
LEBL,ARR,105,25R,998,998,1.8900000000000001,ARR-105-25R,2019
LEBL,ARR,106,02,153,153,3.0300000000000002,ARR-106-02,2019
LEBL,ARR,106,07L,206,206,2.9,ARR-106-07L,2019
LEBL,ARR,106,25R,970,970,1.9,ARR-106-25R,2019
LEBL,ARR,107,02,169,169,2.87,ARR-107-02,2019
LEBL,ARR,107,07L,235,235,2.7466666666666666,ARR-107-07L,2019
LEBL,ARR,107,25L,34,34,4.46,ARR-107-25L,2019
LEBL,ARR,107,25R,867,867,1.6666666666666667,ARR-107-25R,2019
LEBL,ARR,108,02,65,65,3.0233333333333334,ARR-108-02,2019
LEBL,ARR,108,07L,86,86,3.033333333333333,ARR-108-07L,2019
LEBL,ARR,108,25R,380,380,1.7833333333333334,ARR-108-25R,2019
LEBL,ARR,109,02,83,83,3.1733333333333333,ARR-109-02,2019
LEBL,ARR,109,07L,101,101,2.9,ARR-109-07L,2019
LEBL,ARR,109,25R,422,422,1.37,ARR-109-25R,2019
LEBL,ARR,11,25R,88,88,2.606666666666667,ARR-11-25R,2019
LEBL,ARR,110,02,222,222,3.11,ARR-110-02,2019
LEBL,ARR,110,07L,286,286,3,ARR-110-07L,2019
LEBL,ARR,110,25L,45,45,3.963333333333334,ARR-110-25L,2019
LEBL,ARR,110,25R,1177,1177,1.3666666666666667,ARR-110-25R,2019
LEBL,ARR,111,02,217,217,3.3333333333333335,ARR-111-02,2019
LEBL,ARR,111,07L,297,297,3.25,ARR-111-07L,2019
LEBL,ARR,111,25L,40,40,4.180000000000001,ARR-111-25L,2019
LEBL,ARR,111,25R,1311,1311,1.5166666666666666,ARR-111-25R,2019
LEBL,ARR,112,02,246,246,3.3666666666666667,ARR-112-02,2019
LEBL,ARR,112,07L,436,436,3.3666666666666667,ARR-112-07L,2019
LEBL,ARR,112,25L,38,38,4.096666666666667,ARR-112-25L,2019
LEBL,ARR,112,25R,2063,2063,1.6,ARR-112-25R,2019
LEBL,ARR,113,02,248,248,3.1666666666666665,ARR-113-02,2019
LEBL,ARR,113,07L,367,367,3.0166666666666666,ARR-113-07L,2019
LEBL,ARR,113,25L,46,46,3.55,ARR-113-25L,2019
LEBL,ARR,113,25R,1691,1691,1.4,ARR-113-25R,2019
LEBL,ARR,113A,07L,44,44,4.583333333333333,ARR-113A-07L,2019
LEBL,ARR,113A,25R,127,127,2.4233333333333333,ARR-113A-25R,2019
LEBL,ARR,114,02,231,231,3.3666666666666667,ARR-114-02,2019
LEBL,ARR,114,07L,339,339,3.3100000000000005,ARR-114-07L,2019
LEBL,ARR,114,25L,46,46,3.966666666666667,ARR-114-25L,2019
LEBL,ARR,114,25R,1632,1632,1.65,ARR-114-25R,2019
LEBL,ARR,115,02,198,198,3.45,ARR-115-02,2019
LEBL,ARR,115,07L,379,379,3.3333333333333335,ARR-115-07L,2019
LEBL,ARR,115,25L,40,40,4.763333333333334,ARR-115-25L,2019
LEBL,ARR,115,25R,1770,1770,1.8,ARR-115-25R,2019
LEBL,ARR,116,02,227,227,3.6366666666666667,ARR-116-02,2019
LEBL,ARR,116,07L,382,382,3.4,ARR-116-07L,2019
LEBL,ARR,116,25L,37,37,4.863333333333333,ARR-116-25L,2019
LEBL,ARR,116,25R,1781,1781,1.8666666666666667,ARR-116-25R,2019
LEBL,ARR,117,02,247,247,3.8200000000000003,ARR-117-02,2019
LEBL,ARR,117,07L,411,411,3.5833333333333335,ARR-117-07L,2019
LEBL,ARR,117,25L,35,35,4.963333333333334,ARR-117-25L,2019
LEBL,ARR,117,25R,1840,1840,1.9833333333333334,ARR-117-25R,2019
LEBL,ARR,118,02,220,220,3.683333333333333,ARR-118-02,2019
LEBL,ARR,118,07L,310,310,3.5466666666666664,ARR-118-07L,2019
LEBL,ARR,118,25L,33,33,4.683333333333334,ARR-118-25L,2019
LEBL,ARR,118,25R,1367,1367,1.9366666666666665,ARR-118-25R,2019
LEBL,ARR,119,02,128,128,3.5566666666666666,ARR-119-02,2019
LEBL,ARR,119,07L,141,141,3.5,ARR-119-07L,2019
LEBL,ARR,119,25R,642,642,1.9,ARR-119-25R,2019
