ICAO,PHASE,STND,RWY,N,VALID,REF_20,ID,OBSERVED
LEMD,ARR,0,18R,31,31,5.033333333333333,ARR-0-18R,2019
LEMD,ARR,0,32L,94,94,2.1133333333333333,ARR-0-32L,2019
LEMD,ARR,0,32R,90,90,7.22,ARR-0-32R,2019
LEMD,ARR,1,18R,31,31,5.1,ARR-1-18R,2019
LEMD,ARR,1,32L,69,69,2.06,ARR-1-32L,2019
LEMD,ARR,1,32R,48,48,7.29,ARR-1-32R,2019
LEMD,ARR,10,18L,96,96,9.5,ARR-10-18L,2019
LEMD,ARR,10,18R,65,65,6.023333333333333,ARR-10-18R,2019
LEMD,ARR,10,32L,200,200,2.24,ARR-10-32L,2019
LEMD,ARR,10,32R,275,275,8.516666666666667,ARR-10-32R,2019
LEMD,ARR,100,32L,41,41,5.883333333333334,ARR-100-32L,2019
LEMD,ARR,100,32R,38,38,12.190000000000001,ARR-100-32R,2019
LEMD,ARR,101,32L,42,42,5.636666666666667,ARR-101-32L,2019
LEMD,ARR,101,32R,38,38,12.483333333333333,ARR-101-32R,2019
LEMD,ARR,102,32L,41,41,5.666666666666667,ARR-102-32L,2019
LEMD,ARR,104,32L,32,32,6.119999999999999,ARR-104-32L,2019
LEMD,ARR,104,32R,38,38,12.663333333333334,ARR-104-32R,2019
LEMD,ARR,105,32R,35,35,12.326666666666666,ARR-105-32R,2019
LEMD,ARR,11,18L,155,155,9.416666666666666,ARR-11-18L,2019
LEMD,ARR,11,18R,59,59,5.673333333333334,ARR-11-18R,2019
LEMD,ARR,11,32L,202,202,2.2866666666666666,ARR-11-32L,2019
LEMD,ARR,11,32R,288,288,8.306666666666667,ARR-11-32R,2019
LEMD,ARR,12,18L,98,98,10.253333333333334,ARR-12-18L,2019
LEMD,ARR,12,18R,60,60,6.38,ARR-12-18R,2019
LEMD,ARR,12,32L,189,189,2.5166666666666666,ARR-12-32L,2019
LEMD,ARR,12,32R,264,264,8.543333333333333,ARR-12-32R,2019
LEMD,ARR,13,18L,101,101,9.683333333333334,ARR-13-18L,2019
LEMD,ARR,13,18R,47,47,5.873333333333333,ARR-13-18R,2019
LEMD,ARR,13,32L,161,161,2.683333333333333,ARR-13-32L,2019
LEMD,ARR,13,32R,294,294,8.843333333333334,ARR-13-32R,2019
LEMD,ARR,130,18L,65,65,14.7,ARR-130-18L,2019
LEMD,ARR,130,18R,55,55,10.81,ARR-130-18R,2019
LEMD,ARR,130,32L,140,140,6.556666666666667,ARR-130-32L,2019
LEMD,ARR,130,32R,143,143,13.073333333333334,ARR-130-32R,2019
LEMD,ARR,131,32R,31,31,12.383333333333333,ARR-131-32R,2019
LEMD,ARR,132,18L,66,66,14.283333333333333,ARR-132-18L,2019
LEMD,ARR,132,18R,39,39,11.386666666666667,ARR-132-18R,2019
LEMD,ARR,132,32L,87,87,6.42,ARR-132-32L,2019
LEMD,ARR,132,32R,136,136,13.116666666666667,ARR-132-32R,2019
LEMD,ARR,134,18L,52,52,14.676666666666668,ARR-134-18L,2019
LEMD,ARR,134,18R,43,43,10.113333333333333,ARR-134-18R,2019
LEMD,ARR,134,32L,121,121,6.483333333333333,ARR-134-32L,2019
LEMD,ARR,134,32R,129,129,13.036666666666667,ARR-134-32R,2019
LEMD,ARR,136,32L,49,49,6.42,ARR-136-32L,2019
LEMD,ARR,136,32R,36,36,13.05,ARR-136-32R,2019
LEMD,ARR,138,32L,43,43,6.663333333333333,ARR-138-32L,2019
LEMD,ARR,138,32R,37,37,13.1,ARR-138-32R,2019
LEMD,ARR,14,18L,100,100,9.72,ARR-14-18L,2019
LEMD,ARR,14,18R,34,34,6.293333333333333,ARR-14-18R,2019
LEMD,ARR,14,32L,131,131,2.7,ARR-14-32L,2019
LEMD,ARR,14,32R,320,320,8.93,ARR-14-32R,2019
LEMD,ARR,140,32L,47,47,6.443333333333333,ARR-140-32L,2019
LEMD,ARR,140,32R,36,36,13.016666666666667,ARR-140-32R,2019
LEMD,ARR,15,18L,92,92,9.836666666666666,ARR-15-18L,2019
LEMD,ARR,15,18R,42,42,6.373333333333333,ARR-15-18R,2019
LEMD,ARR,15,32L,128,128,2.966666666666667,ARR-15-32L,2019
LEMD,ARR,15,32R,278,278,8.823333333333334,ARR-15-32R,2019
LEMD,ARR,16,18L,98,98,9.23,ARR-16-18L,2019
LEMD,ARR,16,18R,44,44,6.433333333333334,ARR-16-18R,2019
LEMD,ARR,16,32L,201,201,3.066666666666667,ARR-16-32L,2019
LEMD,ARR,16,32R,304,304,8.736666666666666,ARR-16-32R,2019
LEMD,ARR,17,18L,87,87,9.49,ARR-17-18L,2019
LEMD,ARR,17,18R,49,49,6.216666666666667,ARR-17-18R,2019
LEMD,ARR,17,32L,139,139,3.1166666666666667,ARR-17-32L,2019
LEMD,ARR,17,32R,257,257,8.8,ARR-17-32R,2019
LEMD,ARR,2,18R,30,30,5.33,ARR-2-18R,2019
LEMD,ARR,2,32L,69,69,2.0933333333333337,ARR-2-32L,2019
LEMD,ARR,2,32R,52,52,7.210000000000001,ARR-2-32R,2019
LEMD,ARR,200,18L,88,88,14.223333333333333,ARR-200-18L,2019
LEMD,ARR,200,18R,39,39,10.766666666666667,ARR-200-18R,2019
LEMD,ARR,200,32L,158,158,5.183333333333334,ARR-200-32L,2019
LEMD,ARR,200,32R,213,213,11.753333333333334,ARR-200-32R,2019
LEMD,ARR,201,18L,60,60,14.463333333333333,ARR-201-18L,2019
LEMD,ARR,201,18R,49,49,10.27,ARR-201-18R,2019
LEMD,ARR,201,32L,153,153,5.166666666666667,ARR-201-32L,2019
LEMD,ARR,201,32R,155,155,11.583333333333334,ARR-201-32R,2019
LEMD,ARR,202,18L,63,63,13.826666666666666,ARR-202-18L,2019
LEMD,ARR,202,18R,35,35,9.813333333333334,ARR-202-18R,2019
LEMD,ARR,202,32L,106,106,5,ARR-202-32L,2019
