ICAO,PHASE,STND,RWY,N,VALID,REF_20,ID,OBSERVED
LFPG,ARR,A01,08R,88,88,10,ARR-A01-08R,2019
LFPG,ARR,A01,26L,137,137,6,ARR-A01-26L,2019
LFPG,ARR,A01,27R,35,35,12,ARR-A01-27R,2019
LFPG,ARR,A03,08R,81,81,9,ARR-A03-08R,2019
LFPG,ARR,A03,09L,34,34,10,ARR-A03-09L,2019
LFPG,ARR,A03,26L,115,114,6,ARR-A03-26L,2019
LFPG,ARR,A03,27R,44,44,12,ARR-A03-27R,2019
LFPG,ARR,A04,08R,191,191,10,ARR-A04-08R,2019
LFPG,ARR,A04,09L,97,97,10,ARR-A04-09L,2019
LFPG,ARR,A04,26L,285,285,6,ARR-A04-26L,2019
LFPG,ARR,A04,27R,105,105,12,ARR-A04-27R,2019
LFPG,ARR,A05,08R,94,94,9,ARR-A05-08R,2019
LFPG,ARR,A05,26L,154,154,5,ARR-A05-26L,2019
LFPG,ARR,A05,27R,35,35,13,ARR-A05-27R,2019
LFPG,ARR,A07,08R,51,51,9,ARR-A07-08R,2019
LFPG,ARR,A07,09L,39,39,10,ARR-A07-09L,2019
LFPG,ARR,A07,26L,78,78,5,ARR-A07-26L,2019
LFPG,ARR,A07,27R,57,57,11,ARR-A07-27R,2019
LFPG,ARR,A08,08R,341,341,9,ARR-A08-08R,2019
LFPG,ARR,A08,09L,61,61,11,ARR-A08-09L,2019
LFPG,ARR,A08,26L,515,515,5,ARR-A08-26L,2019
LFPG,ARR,A08,27R,69,69,12,ARR-A08-27R,2019
LFPG,ARR,A09,08R,51,51,9,ARR-A09-08R,2019
LFPG,ARR,A09,26L,95,95,5,ARR-A09-26L,2019
LFPG,ARR,A09,27R,32,32,12,ARR-A09-27R,2019
LFPG,ARR,A10,08R,528,528,8,ARR-A10-08R,2019
LFPG,ARR,A10,09L,97,97,9,ARR-A10-09L,2019
LFPG,ARR,A10,26L,766,766,5,ARR-A10-26L,2019
LFPG,ARR,A10,27R,139,139,11,ARR-A10-27R,2019
LFPG,ARR,A12,08R,141,141,8,ARR-A12-08R,2019
LFPG,ARR,A12,26L,224,224,4,ARR-A12-26L,2019
LFPG,ARR,A12,27R,35,35,11,ARR-A12-27R,2019
LFPG,ARR,A14,08R,161,161,9,ARR-A14-08R,2019
LFPG,ARR,A14,09L,66,66,11,ARR-A14-09L,2019
