ICAO,PHASE,STND,RWY,N,VALID,REF_20,ID,OBSERVED
LIRF,ARR,101,16L,105,105,5,ARR-101-16L,2019
LIRF,ARR,101,16R,38,38,8.4,ARR-101-16R,2019
LIRF,ARR,101,34R,30,30,6,ARR-101-34R,2019
LIRF,ARR,102,16L,104,103,4,ARR-102-16L,2019
LIRF,ARR,102,16R,40,39,8,ARR-102-16R,2019
LIRF,ARR,105,16L,91,91,6,ARR-105-16L,2019
LIRF,ARR,201,16L,716,716,6,ARR-201-16L,2019
LIRF,ARR,201,34R,161,161,7,ARR-201-34R,2019
LIRF,ARR,202,16L,734,734,6,ARR-202-16L,2019
LIRF,ARR,202,34R,177,177,7,ARR-202-34R,2019
LIRF,ARR,203,16L,734,734,6,ARR-203-16L,2019
LIRF,ARR,203,34R,167,167,8,ARR-203-34R,2019
LIRF,ARR,204,16L,708,708,6,ARR-204-16L,2019
LIRF,ARR,204,34R,181,181,7,ARR-204-34R,2019
LIRF,ARR,205,16L,720,720,6,ARR-205-16L,2019
LIRF,ARR,205,34R,170,170,7,ARR-205-34R,2019
LIRF,ARR,206,16L,668,668,6,ARR-206-16L,2019
LIRF,ARR,206,34R,176,176,7,ARR-206-34R,2019
LIRF,ARR,207,16L,590,590,5,ARR-207-16L,2019
LIRF,ARR,207,34R,162,162,7,ARR-207-34R,2019
LIRF,ARR,208,16L,583,583,5,ARR-208-16L,2019
LIRF,ARR,208,34R,160,160,7,ARR-208-34R,2019
LIRF,ARR,209,16L,582,582,5,ARR-209-16L,2019
LIRF,ARR,209,34R,159,159,7,ARR-209-34R,2019
LIRF,ARR,210,16L,591,591,6,ARR-210-16L,2019
LIRF,ARR,210,34R,152,152,7,ARR-210-34R,2019
LIRF,ARR,221,16L,1142,1142,6,ARR-221-16L,2019
LIRF,ARR,221,34R,267,267,7,ARR-221-34R,2019
LIRF,ARR,222,16L,1132,1132,6,ARR-222-16L,2019
LIRF,ARR,222,34R,278,278,7,ARR-222-34R,2019
LIRF,ARR,223,16L,1188,1188,6,ARR-223-16L,2019
LIRF,ARR,223,34R,274,274,7,ARR-223-34R,2019
LIRF,ARR,224,16L,1157,1157,6,ARR-224-16L,2019
LIRF,ARR,224,16R,32,32,9,ARR-224-16R,2019
LIRF,ARR,224,34R,286,286,7,ARR-224-34R,2019
LIRF,ARR,225,16L,1147,1147,6,ARR-225-16L,2019
LIRF,ARR,225,16R,37,37,8,ARR-225-16R,2019
LIRF,ARR,225,34R,270,270,7,ARR-225-34R,2019
LIRF,ARR,226,16L,1214,1214,6,ARR-226-16L,2019
LIRF,ARR,226,16R,32,32,8.2,ARR-226-16R,2019
LIRF,ARR,226,34R,289,289,7,ARR-226-34R,2019
LIRF,ARR,227,16L,1181,1181,6,ARR-227-16L,2019
LIRF,ARR,227,34R,281,281,7,ARR-227-34R,2019
LIRF,ARR,228,16L,1212,1212,6,ARR-228-16L,2019
LIRF,ARR,228,16R,38,38,8.4,ARR-228-16R,2019
LIRF,ARR,228,34R,284,284,7,ARR-228-34R,2019
LIRF,ARR,229,16L,1204,1204,7,ARR-229-16L,2019
LIRF,ARR,229,16R,35,35,8,ARR-229-16R,2019
LIRF,ARR,229,34R,282,282,8,ARR-229-34R,2019
LIRF,ARR,230,16L,1185,1185,6,ARR-230-16L,2019
LIRF,ARR,230,16R,33,33,8,ARR-230-16R,2019
LIRF,ARR,230,34R,280,280,7,ARR-230-34R,2019
LIRF,ARR,231,16L,1185,1185,6,ARR-231-16L,2019
LIRF,ARR,231,34R,281,281,7,ARR-231-34R,2019
LIRF,ARR,232,16L,1186,1186,6,ARR-232-16L,2019
LIRF,ARR,232,34R,275,275,7,ARR-232-34R,2019
LIRF,ARR,233,16L,1154,1154,7,ARR-233-16L,2019
LIRF,ARR,233,34R,282,282,8,ARR-233-34R,2019
LIRF,ARR,234,16L,1159,1159,7,ARR-234-16L,2019
LIRF,ARR,234,16R,33,33,8,ARR-234-16R,2019
LIRF,ARR,234,34R,281,281,8,ARR-234-34R,2019
LIRF,ARR,235,16L,1034,1034,7,ARR-235-16L,2019
LIRF,ARR,235,34R,189,189,8,ARR-235-34R,2019
LIRF,ARR,236,16L,1151,1151,7,ARR-236-16L,2019
LIRF,ARR,236,34R,266,266,8,ARR-236-34R,2019
LIRF,ARR,237,16L,1142,1142,7,ARR-237-16L,2019
LIRF,ARR,237,34R,261,261,8,ARR-237-34R,2019
LIRF,ARR,238,16L,1115,1115,7,ARR-238-16L,2019
LIRF,ARR,238,16R,32,32,10,ARR-238-16R,2019
LIRF,ARR,238,34R,272,272,8,ARR-238-34R,2019
LIRF,ARR,301,16L,297,297,7,ARR-301-16L,2019
LIRF,ARR,301,34R,53,53,8,ARR-301-34R,2019
LIRF,ARR,302,16L,252,252,7,ARR-302-16L,2019
LIRF,ARR,302,34R,36,36,7,ARR-302-34R,2019
LIRF,ARR,303,16L,318,317,7,ARR-303-16L,2019
LIRF,ARR,303,34R,47,47,8,ARR-303-34R,2019
LIRF,ARR,304,16L,296,296,7,ARR-304-16L,2019
LIRF,ARR,304,34R,43,43,8,ARR-304-34R,2019
LIRF,ARR,305,16L,247,247,8,ARR-305-16L,2019
LIRF,ARR,305,16R,31,31,7,ARR-305-16R,2019
LIRF,ARR,305,34R,35,35,8,ARR-305-34R,2019
