ICAO,PHASE,STND,RWY,N,VALID,REF_20,ID,OBSERVED
LSZH,ARR,101,14,500,500,5.73,ARR-101-14,2019
LSZH,ARR,101,28,107,107,4.493333333333333,ARR-101-28,2019
LSZH,ARR,102,14,586,586,5.783333333333333,ARR-102-14,2019
LSZH,ARR,102,28,92,92,4.673333333333334,ARR-102-28,2019
LSZH,ARR,103,14,450,450,5.726666666666667,ARR-103-14,2019
LSZH,ARR,103,28,65,65,4.596666666666666,ARR-103-28,2019
LSZH,ARR,104,14,335,335,5.88,ARR-104-14,2019
LSZH,ARR,104,28,57,57,4.623333333333333,ARR-104-28,2019
LSZH,ARR,105,14,251,251,5.783333333333333,ARR-105-14,2019
LSZH,ARR,105,28,40,40,4.913333333333334,ARR-105-28,2019
LSZH,ARR,106,14,158,158,5.69,ARR-106-14,2019
LSZH,ARR,106,28,39,39,3.8966666666666665,ARR-106-28,2019
LSZH,ARR,107,14,232,232,5.873333333333333,ARR-107-14,2019
LSZH,ARR,107,28,46,46,4.8,ARR-107-28,2019
LSZH,ARR,108,14,219,219,5.8933333333333335,ARR-108-14,2019
LSZH,ARR,108,28,38,38,4.443333333333333,ARR-108-28,2019
LSZH,ARR,109,14,88,88,6,ARR-109-14,2019
LSZH,ARR,110,14,37,37,5.85,ARR-110-14,2019
LSZH,ARR,111,14,113,113,6.323333333333332,ARR-111-14,2019
LSZH,ARR,111,28,66,66,4.016666666666667,ARR-111-28,2019
LSZH,ARR,306,28,31,31,3.1,ARR-306-28,2019
LSZH,ARR,307,14,54,54,6.913333333333334,ARR-307-14,2019
LSZH,ARR,307,28,45,45,4.503333333333333,ARR-307-28,2019
LSZH,ARR,308,14,92,92,6.390000000000001,ARR-308-14,2019
LSZH,ARR,308,28,64,64,4.676666666666667,ARR-308-28,2019
LSZH,ARR,501,14,99,99,5.276666666666667,ARR-501-14,2019
LSZH,ARR,502,14,107,107,5.203333333333334,ARR-502-14,2019
LSZH,ARR,503,14,104,104,5.263333333333334,ARR-503-14,2019
LSZH,ARR,504,14,234,234,5.216666666666667,ARR-504-14,2019
LSZH,ARR,504,28,48,48,4.606666666666667,ARR-504-28,2019
