TYPE,DESC,CLASS,NBR_ENG,MODEL_CLASS,ENG_ID,FUEL_TO,FUEL_CO,FUEL_APP,FUEL_IDLE,FUEL_LTO
A10,L2J,LJ,2,military,_TF34-GE-100-100A,0.2216,0.2869,0.097355,0.056531,NA
A124,L4J,LJ,4,cargo,3GE078,2.41,1.997,0.667,0.163,779
A140,L2T,LT,2,turboprop,_PW126A,0.1604,0.1419,0.077,0.0509,NA
A148,L2J,LJ,2,regional,13ZM003,0.548,0.468,0.218,0.093,260
A158,L2J,LJ,2,regional,13ZM003,0.548,0.468,0.218,0.093,260
A178,L2J,LJ,2,cargo,13ZM004,0.581,0.493,0.225,0.099,274
A19N,L2J,LJ,2,narrowbody,01P22PW160,0.71,0.6,0.21,0.08,284.22
A20N,L2J,LJ,2,narrowbody,01P20CM128,0.861,0.71,0.244,0.091,330
A210,L1P,LP,1,piston,_Rotax 912S,0.005,0.0042,0.0022,5e-4,NA
A21N,L2J,LJ,2,narrowbody,01P20CM132,1.062,0.869,0.284,0.098,380
A225,L6J,LJ,6,cargo,3GE078,2.41,1.997,0.667,0.163,779
A306,L2J,LJ,2,widebody,1PW048,2.481,2.004,0.682,0.211,862
A30B,L2J,LJ,2,widebody,3GE074,2.361,1.94,0.663,0.163,769
A310,L2J,LJ,2,widebody,2GE037,2.152,1.771,0.59,0.192,765
A318,L2J,LJ,2,narrowbody,01P08CM109,0.875,0.727,0.26,0.091,338
A319,L2J,LJ,2,narrowbody,01P08CM106,0.894,0.743,0.264,0.092,343
A320,L2J,LJ,2,narrowbody,01P08CM105,1.142,0.939,0.316,0.102,407
A321,L2J,LJ,2,narrowbody,01P08CM104,1.462,1.153,0.369,0.113,478
A332,L2J,LJ,2,widebody,01P14RR102,3.139,2.53,0.821,0.27,1085
A333,L2J,LJ,2,widebody,5PW075,2.884,2.363,0.809,0.25,1017
A337,L2J,LJ,2,widebody,01P14RR102,3.139,2.53,0.821,0.27,1085
A338,L2J,LJ,2,widebody,01P19RR119,2.478,2.029,0.67,0.241,909
A339,L2J,LJ,2,widebody,01P19RR119,2.478,2.029,0.67,0.241,909
A342,L4J,LJ,4,widebody,1CM010,1.308,1.076,0.3558,0.1175,466
A343,L4J,LJ,4,widebody,2CM015,1.456,1.195,0.386,0.124,505
A345,L4J,LJ,4,widebody,8RR044,2.11,1.73,0.6,0.23,820
